"","x"
"1235",327632
"1236",312820
"1237",146043
"1238",120934
"1239",291662
"1240",175104
"1241",304443
"1242",156594
"1243",325303
"1244",312707
"1245",297555
"1246",326579
"1247",147663
"1248",144405
"1249",20626
"1250",289468
"1251",308020
"1252",142409
"1253",298109
"1254",306443
"1255",311623
"1256",124845
"1257",107715
"1258",317262
"1259",163622
"1260",325690
"1261",299589
"1262",327035
"1263",301416
"1264",322135
"1265",310602
"1266",289216
"1267",112084
"1268",159198
"1269",307461
"1270",306342
"1271",319128
"1272",151762
"1273",158096
"1274",173963
"1275",300673
"1276",311663
"1277",318889
"1278",282896
"1279",109641
"1280",123913
"1281",124042
"1282",40794
"1283",312303
"1284",16204
"1285",289723
"1286",316870
"1287",289928
"1288",113348
"1289",105780
"1290",317970
"1291",136577
"1292",129015
"1293",42803
"1294",314516
"1295",111756
"1296",321789
"1297",120755
"1298",307759
"1299",285361
"1300",319664
"1301",108110
"1302",327058
"1303",298006
"1304",142839
"1305",116913
"1306",312685
"1307",145341
"1308",311665
"1309",105725
"1310",130023
"1311",156452
"1312",112551
"1313",153550
"1314",322689
"1315",5393
"1316",1252
"1317",241795
"1318",286338
"1319",163494
"1320",292378
"1321",111872
"1322",106438
"1323",188521
"1324",107764
"1325",284656
"1326",113784
"1327",113106
"1328",311741
"1329",288030
"1330",147144
"1331",141216
"1332",139410
"1333",104920
"1334",108706
"1335",317672
"1336",165285
"1337",168744
"1338",301896
"1339",311864
"1340",324951
"1341",300290
"1342",134648
"1343",121197
"1344",326022
"1345",328300
"1346",284430
"1347",327750
"1348",109993
"1349",167404
"1350",106682
"1351",323596
"1352",144603
"1353",323817
"1354",312837
"1355",309164
"1356",142945
"1357",173064
"1358",173630
"1359",323656
"1360",271030
"1361",289963
"1362",312073
"1363",162589
"1364",123565
"1365",166749
"1366",106962
"1367",167295
"1368",146829
"1369",125828
"1370",133360
"1371",161061
"1372",168267
"1373",288484
"1374",7890
"1375",116593
"1376",118511
"1377",140200
"1378",108062
"1379",143973
"1380",168601
"1381",156950
"1382",301282
"1383",317325
"1384",168761
"1385",293959
"1386",126165
"1387",301963
"1388",312294
"1389",304350
"1390",139779
"1391",327889
"1392",288811
"1393",283670
"1394",306560
"1395",285785
"1396",283850
"1397",309997
"1398",115324
"1399",326117
"1400",14268
"1401",304953
"1402",150138
"1403",110507
"1404",281330
"1405",315897
"1406",155680
"1407",106505
"1408",325014
"1409",164913
"1410",284920
"1411",325613
"1412",170824
"1413",282598
"1414",106928
"1415",124716
"1416",140062
"1417",159331
"1418",143816
"1419",317009
"1420",305300
"1421",300750
"1422",106715
"1423",116574
"1424",175299
"1425",310903
"1426",286477
"1427",105638
"1428",324441
"1429",297059
"1430",134921
"1431",158940
"1432",121034
"1433",314528
"1434",287680
"1435",175021
"1436",321745
"1437",299522
"1438",314738
"1439",168148
"1440",137610
"1441",143319
"1442",311116
"1443",302110
"1444",292038
"1445",315983
"1446",304316
"1447",106772
"1448",226606
"1449",124612
"1450",7059
"1451",128132
"1452",146612
"1453",149040
"1454",115220
"1455",139526
"1456",170914
"1457",323778
"1458",121880
"1459",106598
"1460",286438
"1461",168561
"1462",326620
"1463",304859
"1464",161688
"1465",325995
"1466",155424
"1467",159215
"1468",309194
"1469",171172
"1470",33065
"1471",315116
"1472",160345
"1473",158689
"1474",111728
"1475",324205
"1476",285374
"1477",314708
"1478",327779
"1479",306119
"1480",167653
"1481",168831
"1482",112192
"1483",165639
"1484",120387
"1485",108290
"1486",130566
"1487",141860
"1488",288590
"1489",166333
"1490",317081
"1491",317776
"1492",158143
"1493",305170
"1494",116564
"1495",315451
"1496",311111
"1497",301879
"1498",288912
"1499",109401
"1500",283897
"1501",300084
"1502",327641
"1503",319170
"1504",323305
"1505",150149
"1506",269866
"1507",327724
"1508",327280
"1509",286669
"1510",114003
"1511",145934
"1512",126248
"1513",17530
"1514",41533
"1515",140929
"1516",157373
"1517",167596
"1518",322265
"1519",107611
"1520",109629
"1521",147297
"1522",297344
"1523",309051
"1524",145851
"1525",152447
"1526",112414
"1527",328479
"1528",137497
"1529",170368
"1530",130595
"1531",310075
"1532",157458
"1533",145958
"1534",166672
"1535",144260
"1536",107689
"1537",114494
"1538",290016
"1539",323195
"1540",165390
"1541",170413
"1542",290081
"1543",322998
"1544",109721
"1545",160452
"1546",298422
"1547",150890
"1548",6363
"1549",144958
"1550",312005
"1551",131037
"1552",138872
"1553",301990
"1554",111458
"1555",304315
"1556",304961
"1557",121886
"1558",290962
"1559",126767
"1560",297808
"1561",306817
"1562",145296
"1563",323208
"1564",291413
"1565",140873
"1566",147418
"1567",326594
"1568",167555
"1569",305026
"1570",307450
"1571",308215
"1572",328528
"1573",5009
"1574",109355
"1575",159227
"1576",327634
"1577",326536
"1578",328015
"1579",290336
"1580",300186
"1581",151014
"1582",285713
"1583",299243
"1584",138111
"1585",151736
"1586",269931
"1587",143483
"1588",297268
"1589",110270
"1590",310532
"1591",108899
"1592",143857
"1593",106201
"1594",20989
"1595",326868
"1596",315828
"1597",304445
"1598",314622
"1599",108289
"1600",110729
"1601",323120
"1602",325434
"1603",316562
"1604",152070
"1605",158007
"1606",283917
"1607",297658
"1608",118544
"1609",167151
"1610",320643
"1611",117622
"1612",174092
"1613",312808
"1614",282786
"1615",42159
"1616",290405
"1617",311415
"1618",110283
"1619",123047
"1620",143817
"1621",161441
"1622",170693
"1623",10641
"1624",143490
"1625",108477
"1626",150801
"1627",324525
"1628",327354
"1629",46947
"1630",165598
"1631",264786
"1632",138433
"1633",326523
"1634",315678
"1635",155186
